wallet,num_txns,num_deposits,num_borrows,num_repays,num_redeems,num_liquidations,total_deposit_amt,total_borrow_amt,total_repay_amt,repay_ratio,activity_days,score
0x002aea16059a7d4bef638a03b61a9e80ef07e745,41,12,10,5,14,0,1430619659525877.2,674381785819342.0,15.406926,2.284599958654179e-14,83,475
0x002bb13a55bf4525f02717708dd4534ecc475193,2,2,0,0,0,0,3.1451770000000003,0.0,0.0,0.0,1,25
0x002c77a71d54e6da4b28690fe1676752a74a67eb,1,1,0,0,0,0,1.15122,0.0,0.0,0.0,1,16
0x002cd2707daccbd5f3f192a565fca0a2cea021a6,5,2,1,1,1,0,1000000000005.1339,2.726309,2.726309,1.0,19,616
0x002d2715b179d0db3e17cc28317a98f2f65e6884,253,98,64,38,53,0,7.932648299989011e+16,3.342662489293028e+16,8000894335516522.0,0.23935693062474603,102,1000
0x002d59b6a7b3483c8c1ef38c90cbe7790aeaea50,1,1,0,0,0,0,4674990964.187967,0.0,0.0,0.0,1,231
0x002dcc4d0ad0bdce1c444ad0bb4d51ac7e61d62b,29,5,5,16,3,0,1.52000000000005e+16,4500.0,1380.602617,0.30680058155555556,129,571
0x002de04d579930686698abab5f48bda0b24fb9fc,85,32,13,15,25,0,9561601228095396.0,42533.281825,42583.466717999996,1.0011798970323165,81,882
0x002e5e69ae7c8999834ee24aeb5c26ad05433820,4,1,1,1,1,0,2.1457e+16,2500000000000000.0,2500000000000000.0,1.0,1,690
0x002e7ea05d6721a04cd36ab5e9f2c72338d7f7f3,6,1,0,0,5,0,15.0,0.0,0.0,0.0,72,82
0x002eba74e10ff40a1bc1cfa2b9684f9e28f8dea7,1,1,0,0,0,0,0.012183,0.0,0.0,0.0,1,9
0x002f93d5a1ca66a2a64b490bd0a0291c1a1c02b6,108,61,26,12,9,0,3811979678649937.5,150000000002912.5,2509.9691059999996,1.673312737300843e-11,106,621
0x0030040e8d836ac3e546c354f9b373e70a14deeb,2,0,0,0,2,0,0.0,0.0,0.0,0.0,1,10
0x00301da1d3b20fd6b8451a791a8b1a5e20599fb8,58,35,23,0,0,0,9647786848111268.0,4950000000006150.0,0.0,0.0,41,521
0x00305f0dc87d6bf12ac07e37ac0d2336d5906b93,1,1,0,0,0,0,6764030347.976762,0.0,0.0,0.0,1,235
0x003064605a8677d5b2e8def620ac67d8f1f1b5ed,3,1,0,0,2,0,197.0,0.0,0.0,0.0,34,94
0x003094a91a3b5523bc601b221f80183bd347e9ae,2,2,0,0,0,0,2.2,0.0,0.0,0.0,6,35
0x0030a2c2268c9faafeae8ea22802db8b3c87f82c,1,1,0,0,0,0,165694780.930095,0.0,0.0,0.0,1,198
0x0030d58fd7c5af92c6e9bbf4d06255b6a9d1490a,67,37,11,11,8,0,9.44067062908613e+16,5.404812000007117e+16,5.417605170497536e+16,1.002366996389588,74,868
0x0030de8f624d2b2513c6dbbff788bb109b80304d,1,1,0,0,0,0,512154521.788658,0.0,0.0,0.0,1,209
0x0030e3b40e23f92bd064457fd1fb848482a0bde5,2,2,0,0,0,0,32765.593476000002,0.0,0.0,0.0,1,114
0x0030ee334630838ea4dee0b4b6ecbc973529031f,16,8,7,1,0,0,4145000000000000.0,550000000003800.0,1806.279483,3.2841445145227643e-12,75,434
0x0031fc2cc920357b9767ab93200c5bf69c43e8e7,1,1,0,0,0,0,1071184911359.4033,0.0,0.0,0.0,1,285
0x00326e37cef76788f6b0cf643c94481d60bd3d58,2,2,0,0,0,0,30000000000000.0,0.0,0.0,0.0,1,321
0x00329e92ed6fd0a0ef76da9c476d51faeb6b26a0,523,179,154,148,42,0,2.0523579688830935e+18,3.7556284400034156e+18,4.338433215427062e+17,0.11551816918883265,104,1000
0x003325d3054cd7668fb16f19ea11bae6d02a474c,5,0,0,0,5,0,0.0,0.0,0.0,0.0,7,30
0x0034baeeb160a5f1032b6d124d3e87cc94d74e62,162,59,45,21,37,0,5.283732265103469e+19,3.49646e+19,3.5002998465161114e+19,1.0010982097653374,25,1000
0x0034d2a08772822866b08d2c585e5c8e25723760,1,1,0,0,0,0,476000000000000.0,0.0,0.0,0.0,1,346
0x0034daf2e65f6ef82bc6f893dbbfd7c232a0e59c,5,0,0,0,5,0,0.0,0.0,0.0,0.0,31,44
0x0035e2e614e53a5ebf5a518dede926a7fcec4f91,26,14,8,2,2,0,1404389958549610.0,333223362378678.06,913.894665,2.7425888103290964e-12,21,431
0x0036472d3ca5e7ab22477d62682b2a3d9436d328,1,1,0,0,0,0,10000000000000.0,0.0,0.0,0.0,1,308
0x0036534c48a754163f0f446601f36bcfda840f57,27,7,8,7,5,0,676473308845518.5,165000000001250.0,150042002092508.9,0.9093454672204377,13,694
0x00368bb9dba2ee83f3553feae59710b9c3743e09,11,9,1,0,1,0,600961657610252.1,500000000000000.0,0.0,0.0,38,398
0x0036a2f1f6136bb9d7992f7def692126a279e702,1,1,0,0,0,0,3992596985.89263,0.0,0.0,0.0,1,230
